thread_id,elapsed_time_micros,local_queue_depth,local_schedule_count,mean_poll_time_micros,noop_count,overflow_count,park_count,park_unpark_count,poll_count,steal_count,steal_operations,total_busy_duration_micros
6,6140835,0,56910,76,476,29,1885,3770,57854,60934,7240,2144049
7,6140835,83,61634,48,595,52,2338,4676,60593,65382,7627,2346266
8,6140835,144,59326,26,540,43,2096,4192,58678,61895,7601,2265830
9,6140835,81,60329,26,298,41,1733,3466,61289,65424,7578,2351552
10,6140835,0,59075,37,390,32,1914,3827,60822,63942,7584,2230189
11,6140835,13,60605,34,441,39,1995,3990,59030,60285,7325,2271086
0,6345923,31,64108,29,362,48,1839,3678,64413,66731,8036,2407417
1,6345923,3,65371,48,397,39,1978,3956,60919,62382,7759,2336495
2,6345923,88,65800,26,418,29,1988,3976,63708,63488,7848,2291492
3,6345923,9,61046,26,400,37,1978,3956,62809,66348,7935,2374624
4,6345923,30,60336,28,435,37,2042,4084,60866,64149,7721,2317322
5,6345923,7,60403,42,429,38,2089,4178,64370,67668,8069,2373017
6,6345923,8,59449,24,490,29,1967,3934,60359,63789,7636,2255635
7,6345923,0,63704,25,608,53,2425,4849,63430,69230,8074,2457785
8,6345923,20,61998,43,557,43,2181,4362,61279,64987,8016,2384123
9,6345923,13,63908,31,313,42,1810,3620,64326,69132,8028,2456329
10,6345923,29,62730,27,400,32,2008,4016,63987,67551,8130,2342305
11,6345923,17,63208,116,483,43,2111,4222,61565,63424,7744,2378083
0,6551011,0,66888,401,374,49,1927,3853,67521,70662,8528,2525137
1,6551011,4,68630,44,434,41,2106,4212,64028,66118,8217,2454307
2,6551011,135,69597,44,427,31,2067,4134,66374,66671,8247,2403290
3,6551011,0,63376,29,406,37,2044,4087,65759,69423,8349,2477769
4,6551011,188,63410,19,480,39,2173,4346,63331,66736,8033,2410663
5,6551011,135,63030,25,444,40,2170,4340,66973,70864,8484,2470677
6,6551011,0,61923,50,513,30,2068,4135,63275,67473,8046,2360845
7,6551011,0,66676,27,622,54,2515,5030,66470,72925,8584,2574481
8,6551011,9,65115,53,561,46,2257,4514,64436,68718,8496,2502838
9,6551011,9,66683,23,327,44,1891,3782,67466,72710,8475,2586720
10,6551011,1,65486,48,417,32,2090,4180,66483,70552,8521,2457468
11,6551011,3,66141,189,491,44,2197,4394,64755,66849,8206,2501420
0,6756188,0,69695,38,385,49,2020,4039,70730,73955,8969,2649365
1,6756188,1,71804,29,473,45,2219,4438,66866,69085,8567,2556514
